"ID";"Landen";"Perioden";"TotaalAsielverzoeken_1"
"220";"L008745";"2012JJ00";"     0.7"
"221";"L008745";"2013JJ00";"     0.4"
"222";"L008745";"2014JJ00";"     0.3"
"223";"L008745";"2015JJ00";"     0.3"
"224";"L008745";"2016JJ00";"     0.1"
"225";"L008749";"2008JJ00";"     4.5"
"226";"L008749";"2009JJ00";"     3.0"
"227";"L008749";"2010JJ00";"     2.7"
"228";"L008749";"2011JJ00";"     3.4"
"229";"L008749";"2012JJ00";"     2.6"
"230";"L008749";"2013JJ00";"     4.5"
"231";"L008749";"2014JJ00";"     5.6"
"232";"L008749";"2015JJ00";"    14.8"
"233";"L008749";"2016JJ00";"    15.8"
"234";"L008764";"2008JJ00";"     1.6"
"235";"L008764";"2009JJ00";"     1.2"
"236";"L008764";"2010JJ00";"     0.8"
"237";"L008764";"2011JJ00";"     0.8"
"238";"L008764";"2012JJ00";"     0.7"
"239";"L008764";"2013JJ00";"     0.7"
"240";"L008764";"2014JJ00";"     1.1"
"241";"L008764";"2015JJ00";"     1.5"
"242";"L008764";"2016JJ00";"     1.5"
"243";"L008776";"2008JJ00";"    31.3"
"244";"L008776";"2009JJ00";"    31.7"
"245";"L008776";"2010JJ00";"    24.3"
"246";"L008776";"2011JJ00";"    26.9"
"247";"L008776";"2012JJ00";"    28.8"
"248";"L008776";"2013JJ00";"    30.6"
"249";"L008776";"2014JJ00";"    32.8"
"250";"L008776";"2015JJ00";"    40.2"
"251";"L008776";"2016JJ00";"    39.7"
"252";"L008790";"2008JJ00";"    24.8"
"253";"L008790";"2009JJ00";"    24.2"
"254";"L008790";"2010JJ00";"    31.9"
"255";"L008790";"2011JJ00";"    29.7"
"256";"L008790";"2012JJ00";"    43.9"
"257";"L008790";"2013JJ00";"    54.3"
"258";"L008790";"2014JJ00";"    81.2"
"259";"L008790";"2015JJ00";"   162.5"
"260";"L008790";"2016JJ00";"    28.8"
"261";"L008704";"2008JJ00";"    14.4"
"262";"L008704";"2009JJ00";"    17.1"
"263";"L008704";"2010JJ00";"    10.0"
"264";"L008704";"2011JJ00";"     9.0"
"265";"L008704";"2012JJ00";"     9.7"
"266";"L008704";"2013JJ00";"    11.9"
"267";"L008704";"2014JJ00";"    11.4"
"268";"L008704";"2015JJ00";"    31.1"
"269";"L008704";"2016JJ00";"     3.5"
"270";"L008791";"2008JJ00";"    16.5"
"271";"L008791";"2009JJ00";"    16.0"
"272";"L008791";"2010JJ00";"    15.4"
"273";"L008791";"2011JJ00";"    23.6"
"274";"L008791";"2012JJ00";"    28.4"
"275";"L008791";"2013JJ00";"    21.3"
"276";"L008791";"2014JJ00";"    23.6"
"277";"L008791";"2015JJ00";"    39.4"
"278";"L008791";"2016JJ00";"    27.1"
"279";"L008545";"2008JJ00";"     5.0"
"280";"L008545";"2009JJ00";"     7.4"
"281";"L008545";"2010JJ00";"    12.6"
"282";"L008545";"2011JJ00";"    11.5"
"283";"L008545";"2012JJ00";"    15.8"
"284";"L008545";"2013JJ00";"    11.7"
"285";"L008545";"2014JJ00";"     9.0"
"286";"L008545";"2015JJ00";"    12.2"
"287";"L008545";"2016JJ00";"    27.2"
"288";"L008571";"2008JJ00";"    36.9"
"289";"L008571";"2009JJ00";"    33.3"
"290";"L008571";"2010JJ00";"    23.2"
"291";"L008571";"2011JJ00";"    25.4"
"292";"L008571";"2012JJ00";"    20.5"
"293";"L008571";"2013JJ00";"    10.4"
"294";"L008571";"2014JJ00";"    13.5"
"295";"L008571";"2015JJ00";"    16.1"
"296";"L008571";"2016JJ00";"    22.8"
"297";"L008778";"2008JJ00";"    49.0"
"298";"L008778";"2009JJ00";"    42.5"
"299";"L008778";"2010JJ00";"    46.9"
"300";"L008778";"2011JJ00";"    63.1"
"301";"L008778";"2012JJ00";"    70.8"
"302";"L008778";"2013JJ00";"    88.4"
"303";"L008778";"2014JJ00";"   121.2"
"304";"L008778";"2015JJ00";"    90.6"
"305";"L008778";"2016JJ00";"       ."
