"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"2903190";"T001038";"60100";"G008753";"T001019";"2010JJ00";"      35"
"2903191";"T001038";"60100";"G008753";"T001019";"2011JJ00";"      29"
"2903192";"T001038";"60100";"G008753";"T001019";"2012JJ00";"      64"
"2903193";"T001038";"60100";"G008753";"T001019";"2013JJ00";"     342"
"2903194";"T001038";"60100";"G008753";"T001019";"2014JJ00";"    1860"
"2903195";"T001038";"60100";"G008753";"T001019";"2015JJ00";"    4999"
"2903196";"T001038";"60100";"G008753";"T001019";"2016JJ00";"    5502"
"2903197";"T001038";"60100";"G008753";"T001019";"2017JJ00";"    4251"
"2904900";"T001038";"60100";"G008766";"T001019";"1995JJ00";"     591"
"2904901";"T001038";"60100";"G008766";"T001019";"1996JJ00";"     695"
"2904902";"T001038";"60100";"G008766";"T001019";"1997JJ00";"     609"
"2904903";"T001038";"60100";"G008766";"T001019";"1998JJ00";"     523"
"2904904";"T001038";"60100";"G008766";"T001019";"1999JJ00";"     460"
"2904905";"T001038";"60100";"G008766";"T001019";"2000JJ00";"     422"
"2904906";"T001038";"60100";"G008766";"T001019";"2001JJ00";"     505"
"2904907";"T001038";"60100";"G008766";"T001019";"2002JJ00";"     506"
"2904908";"T001038";"60100";"G008766";"T001019";"2003JJ00";"     472"
"2904909";"T001038";"60100";"G008766";"T001019";"2004JJ00";"     336"
"2904910";"T001038";"60100";"G008766";"T001019";"2005JJ00";"     223"
"2904911";"T001038";"60100";"G008766";"T001019";"2006JJ00";"     204"
"2904912";"T001038";"60100";"G008766";"T001019";"2007JJ00";"     177"
"2904913";"T001038";"60100";"G008766";"T001019";"2008JJ00";"     281"
"2904914";"T001038";"60100";"G008766";"T001019";"2009JJ00";"     261"
"2904915";"T001038";"60100";"G008766";"T001019";"2010JJ00";"     296"
"2904916";"T001038";"60100";"G008766";"T001019";"2011JJ00";"     260"
"2904917";"T001038";"60100";"G008766";"T001019";"2012JJ00";"     267"
"2904918";"T001038";"60100";"G008766";"T001019";"2013JJ00";"     282"
"2904919";"T001038";"60100";"G008766";"T001019";"2014JJ00";"     286"
"2904920";"T001038";"60100";"G008766";"T001019";"2015JJ00";"     402"
"2904921";"T001038";"60100";"G008766";"T001019";"2016JJ00";"     699"
"2904922";"T001038";"60100";"G008766";"T001019";"2017JJ00";"    1010"
"2908695";"T001038";"60200";"G008533";"T001019";"1995JJ00";"     326"
"2908696";"T001038";"60200";"G008533";"T001019";"1996JJ00";"     604"
"2908697";"T001038";"60200";"G008533";"T001019";"1997JJ00";"     830"
"2908698";"T001038";"60200";"G008533";"T001019";"1998JJ00";"     878"
"2908699";"T001038";"60200";"G008533";"T001019";"1999JJ00";"    1299"
"2908700";"T001038";"60200";"G008533";"T001019";"2000JJ00";"    1159"
"2908701";"T001038";"60200";"G008533";"T001019";"2001JJ00";"    1120"
"2908702";"T001038";"60200";"G008533";"T001019";"2002JJ00";"     793"
"2908703";"T001038";"60200";"G008533";"T001019";"2003JJ00";"     544"
"2908704";"T001038";"60200";"G008533";"T001019";"2004JJ00";"     248"
"2908705";"T001038";"60200";"G008533";"T001019";"2005JJ00";"     215"
"2908706";"T001038";"60200";"G008533";"T001019";"2006JJ00";"     169"
"2908707";"T001038";"60200";"G008533";"T001019";"2007JJ00";"     108"
"2908708";"T001038";"60200";"G008533";"T001019";"2008JJ00";"     102"
