"ID";"Nationaliteit";"Perioden";"TotaalAsielverzoekenEnNareizigers_1"
"390";"NAT9288  ";"2013JJ00";"      95"
"391";"NAT9288  ";"2014JJ00";"      80"
"392";"NAT9288  ";"2015JJ00";"      65"
"393";"NAT9288  ";"2016JJ00";"      80"
"394";"NAT9288  ";"2017JJ00";"     135"
"395";"NAT9288  ";"2018JJ00";"     300"
"396";"NAT9294  ";"1975JJ00";"       ."
"397";"NAT9294  ";"1976JJ00";"       ."
"398";"NAT9294  ";"1977JJ00";"       ."
"399";"NAT9294  ";"1978JJ00";"       ."
"400";"NAT9294  ";"1979JJ00";"       ."
"401";"NAT9294  ";"1980JJ00";"       ."
"402";"NAT9294  ";"1981JJ00";"       ."
"403";"NAT9294  ";"1982JJ00";"      10"
"404";"NAT9294  ";"1983JJ00";"       ."
"405";"NAT9294  ";"1984JJ00";"      15"
"406";"NAT9294  ";"1985JJ00";"      60"
"407";"NAT9294  ";"1986JJ00";"     215"
"408";"NAT9294  ";"1987JJ00";"     830"
"409";"NAT9294  ";"1988JJ00";"     215"
"410";"NAT9294  ";"1989JJ00";"     105"
"411";"NAT9294  ";"1990JJ00";"     115"
"412";"NAT9294  ";"1991JJ00";"      65"
"413";"NAT9294  ";"1992JJ00";"      45"
"414";"NAT9294  ";"1993JJ00";"      50"
"415";"NAT9294  ";"1994JJ00";"     130"
"416";"NAT9294  ";"1995JJ00";"     245"
"417";"NAT9294  ";"1996JJ00";"      85"
"418";"NAT9294  ";"1997JJ00";"      55"
"419";"NAT9294  ";"1998JJ00";"      40"
"420";"NAT9294  ";"1999JJ00";"      50"
"421";"NAT9294  ";"2000JJ00";"      80"
"422";"NAT9294  ";"2001JJ00";"      55"
"423";"NAT9294  ";"2002JJ00";"      35"
"424";"NAT9294  ";"2003JJ00";"      20"
"425";"NAT9294  ";"2004JJ00";"      25"
"426";"NAT9294  ";"2005JJ00";"      25"
"427";"NAT9294  ";"2006JJ00";"      25"
"428";"NAT9294  ";"2007JJ00";"       5"
"429";"NAT9294  ";"2008JJ00";"      15"
"430";"NAT9294  ";"2009JJ00";"      15"
"431";"NAT9294  ";"2010JJ00";"      15"
"432";"NAT9294  ";"2011JJ00";"      25"
"433";"NAT9294  ";"2012JJ00";"      45"
"434";"NAT9294  ";"2013JJ00";"      40"
"435";"NAT9294  ";"2014JJ00";"      15"
"436";"NAT9294  ";"2015JJ00";"      40"
"437";"NAT9294  ";"2016JJ00";"      25"
"438";"NAT9294  ";"2017JJ00";"      20"
"439";"NAT9294  ";"2018JJ00";"      30"
"440";"NAT9295  ";"1975JJ00";"       ."
"441";"NAT9295  ";"1976JJ00";"       ."
"442";"NAT9295  ";"1977JJ00";"       ."
"443";"NAT9295  ";"1978JJ00";"       ."
"444";"NAT9295  ";"1979JJ00";"       ."
"445";"NAT9295  ";"1980JJ00";"       ."
"446";"NAT9295  ";"1981JJ00";"       ."
"447";"NAT9295  ";"1982JJ00";"       ."
"448";"NAT9295  ";"1983JJ00";"       ."
"449";"NAT9295  ";"1984JJ00";"       ."
"450";"NAT9295  ";"1985JJ00";"       ."
"451";"NAT9295  ";"1986JJ00";"       ."
"452";"NAT9295  ";"1987JJ00";"       ."
"453";"NAT9295  ";"1988JJ00";"       ."
"454";"NAT9295  ";"1989JJ00";"       ."
"455";"NAT9295  ";"1990JJ00";"       ."
"456";"NAT9295  ";"1991JJ00";"       ."
"457";"NAT9295  ";"1992JJ00";"       ."
"458";"NAT9295  ";"1993JJ00";"       ."
"459";"NAT9295  ";"1994JJ00";"      10"
"460";"NAT9295  ";"1995JJ00";"       5"
"461";"NAT9295  ";"1996JJ00";"       5"
"462";"NAT9295  ";"1997JJ00";"       5"
"463";"NAT9295  ";"1998JJ00";"       5"
"464";"NAT9295  ";"1999JJ00";"      10"
"465";"NAT9295  ";"2000JJ00";"      30"
"466";"NAT9295  ";"2001JJ00";"     105"
"467";"NAT9295  ";"2002JJ00";"     105"
"468";"NAT9295  ";"2003JJ00";"      10"
"469";"NAT9295  ";"2004JJ00";"       5"
"470";"NAT9295  ";"2005JJ00";"       5"
"471";"NAT9295  ";"2006JJ00";"       0"
"472";"NAT9295  ";"2007JJ00";"       5"
"473";"NAT9295  ";"2008JJ00";"       5"
"474";"NAT9295  ";"2009JJ00";"       5"
"475";"NAT9295  ";"2010JJ00";"      15"
"476";"NAT9295  ";"2011JJ00";"      10"
"477";"NAT9295  ";"2012JJ00";"      10"
"478";"NAT9295  ";"2013JJ00";"       5"
"479";"NAT9295  ";"2014JJ00";"       0"
"480";"NAT9295  ";"2015JJ00";"       5"
"481";"NAT9295  ";"2016JJ00";"       5"
