"ID";"Geslacht";"LeeftijdOp31December";"Geboorteland";"BurgerlijkeStaat";"Perioden";"Immigratie_1"
"3287975";"3000   ";"10000";"G008746";"T001019";"2005JJ00";"     103"
"3287976";"3000   ";"10000";"G008746";"T001019";"2006JJ00";"      67"
"3287977";"3000   ";"10000";"G008746";"T001019";"2007JJ00";"      73"
"3287978";"3000   ";"10000";"G008746";"T001019";"2008JJ00";"      99"
"3287979";"3000   ";"10000";"G008746";"T001019";"2009JJ00";"     118"
"3287980";"3000   ";"10000";"G008746";"T001019";"2010JJ00";"     147"
"3287981";"3000   ";"10000";"G008746";"T001019";"2011JJ00";"     188"
"3287982";"3000   ";"10000";"G008746";"T001019";"2012JJ00";"     148"
"3287983";"3000   ";"10000";"G008746";"T001019";"2013JJ00";"     137"
"3287984";"3000   ";"10000";"G008746";"T001019";"2014JJ00";"     218"
"3287985";"3000   ";"10000";"G008746";"T001019";"2015JJ00";"     340"
"3287986";"3000   ";"10000";"G008746";"T001019";"2016JJ00";"     385"
"3287987";"3000   ";"10000";"G008746";"T001019";"2017JJ00";"     253"
"3288885";"3000   ";"10000";"G008753";"T001019";"1995JJ00";"     161"
"3288886";"3000   ";"10000";"G008753";"T001019";"1996JJ00";"     177"
"3288887";"3000   ";"10000";"G008753";"T001019";"1997JJ00";"     146"
"3288888";"3000   ";"10000";"G008753";"T001019";"1998JJ00";"     158"
"3288889";"3000   ";"10000";"G008753";"T001019";"1999JJ00";"     328"
"3288890";"3000   ";"10000";"G008753";"T001019";"2000JJ00";"     545"
"3288891";"3000   ";"10000";"G008753";"T001019";"2001JJ00";"     640"
"3288892";"3000   ";"10000";"G008753";"T001019";"2002JJ00";"     398"
"3288893";"3000   ";"10000";"G008753";"T001019";"2003JJ00";"     205"
"3288894";"3000   ";"10000";"G008753";"T001019";"2004JJ00";"     118"
"3288895";"3000   ";"10000";"G008753";"T001019";"2005JJ00";"      88"
"3288896";"3000   ";"10000";"G008753";"T001019";"2006JJ00";"      72"
